victim_id,numeric_id,value_numeric
1,1,2000-01-02
1,2,95823
1,3,38.4739487
1,4,-121.4337757
2,1,2000-01-02
2,2,30294
2,3,33.645164
2,4,-84.2294129
3,1,2000-01-05
3,2,61764
3,3,40.8736874
3,4,-88.6428061
4,1,2000-01-05
4,2,NULL
4,3,31.2232313
4,4,-85.3904888
5,1,2000-01-05
5,2,30303
5,3,33.7527031
5,4,-84.3811976
6,1,2000-01-06
6,2,68467
6,3,40.8768273
6,4,-97.5958161
7,1,2000-01-06
7,2,28208
7,3,35.2390502
7,4,-80.9183189
8,1,2000-01-06
8,2,92407
8,3,34.1579411
8,4,-117.3616521
9,1,2000-01-07
9,2,90242
9,3,33.9156779
9,4,-118.1250809
10,1,2000-01-09
10,2,31406
10,3,31.98979
10,4,-81.076158
11,1,2000-01-09
11,2,84105
11,3,40.7335115
11,4,-111.8712754
12,1,2000-01-09
12,2,92553
12,3,33.9250804
12,4,-117.2497956
13,1,2000-01-10
13,2,19131
13,3,40.0001546
13,4,-75.2287372
14,1,2000-01-11
14,2,33612
14,3,28.0660332
14,4,-82.4361586
15,1,2000-01-11
15,2,73110
15,3,35.4496763
15,4,-97.3884482
16,1,2000-01-12
16,2,75042
16,3,32.9187447
16,4,-96.6522267
17,1,2000-01-13
17,2,39211
17,3,32.3557899
17,4,-90.1419362
18,1,2000-01-13
18,2,85009
18,3,33.476923
18,4,-112.111356
19,1,2000-01-14
19,2,95350
19,3,37.6686407
19,4,-120.9916252
20,1,2000-01-14
20,2,67701
20,3,39.3649589
20,4,-101.0524
21,1,2000-01-15
21,2,92705
21,3,33.7599836
21,4,-117.7923329
22,1,2000-01-17
22,2,89501
22,3,39.5277048
22,4,-119.8074243
23,1,2000-01-17
23,2,60433
23,3,41.5138667
23,4,-88.0727955
24,1,2000-01-17
24,2,11102
24,3,40.7684716
24,4,-73.9184722
25,1,2000-01-19
25,2,30354
25,3,33.6727766
25,4,-84.385959
26,1,2000-01-20
26,2,85032
26,3,33.6407755
26,4,-111.9961723
27,1,2000-01-21
27,2,4292
27,3,44.3660924
27,4,-70.4222002
28,1,2000-01-22
28,2,72019
28,3,34.6066939
28,4,-92.5340676
29,1,2000-01-22
29,2,85023
29,3,33.641526
29,4,-112.089133
30,1,2000-01-26
30,2,43207
30,3,39.9313393
30,4,-82.9958454
31,1,2000-01-27
31,2,87109
31,3,35.1527206
31,4,-106.5880844
32,1,2000-01-28
32,2,96792
32,3,21.378312
32,4,-158.143267
33,1,2000-01-28
33,2,63010
33,3,38.4370563
33,4,-90.3738351
34,1,2000-01-28
34,2,2909
34,3,41.8242783
34,4,-71.4398076
35,1,2000-01-28
35,2,7305
35,3,40.7036602
35,4,-74.0781321
36,1,2000-01-28
36,2,94621
36,3,37.7556261
36,4,-122.1674199
37,1,2000-01-29
37,2,74868
37,3,35.3481286
37,4,-96.6719618
38,1,2000-01-29
38,2,92114
38,3,32.7266073
38,4,-117.0717535
39,1,2000-01-29
39,2,85033
39,3,33.4937769
39,4,-112.2139384
40,1,2000-01-30
40,2,91950
40,3,32.680431
40,4,-117.090553
41,1,2000-01-31
41,2,90802
41,3,33.7691442
41,4,-118.1820822
42,1,2000-01-31
42,2,33062
42,3,26.225515
42,4,-80.095812
43,1,2000-02-01
43,2,39466
43,3,30.5393138
43,4,-89.7195706
44,1,2000-02-01
44,2,48195
44,3,42.2136461
44,4,-83.1940987
45,1,2000-02-01
45,2,33433
45,3,26.3686824
45,4,-80.1456363
46,1,2000-02-02
46,2,60145
46,3,42.097677
46,4,-88.752031
47,1,2000-02-02
47,2,90033
47,3,34.0514934
47,4,-118.2008155
48,1,2000-02-03
48,2,96706
48,3,21.338593
48,4,-158.0217318
49,1,2000-02-03
49,2,96706
49,3,21.338593
49,4,-158.0217318
50,1,2000-02-03
50,2,66762
50,3,37.4404216
50,4,-94.7061994
51,1,2000-02-03
51,2,70538
51,3,29.792769
51,4,-91.5073084
52,1,2000-02-03
52,2,92104
52,3,32.747865
52,4,-117.1143741
53,1,2000-02-04
53,2,95215
53,3,37.9118938
53,4,-121.2247012
54,1,2000-02-05
54,2,11420
54,3,40.685478
54,4,-73.810898
55,1,2000-02-05
55,2,89115
55,3,36.175923
55,4,-115.2371049
56,1,2000-02-05
56,2,95655
56,3,38.572804
56,4,-121.2951513
57,1,2000-02-06
57,2,80234
57,3,39.9363052
57,4,-105.0113116
58,1,2000-02-07
58,2,90660
58,3,34.0053546
58,4,-118.0740818
59,1,2000-02-07
59,2,92543
59,3,33.747926
59,4,-116.9599159
60,1,2000-02-07
60,2,55430
60,3,45.0634651
60,4,-93.3018704
61,1,2000-02-07
61,2,80915
61,3,38.8411212
61,4,-104.7387451
62,1,2000-02-08
62,2,91020
62,3,34.211594
62,4,-118.2316188
63,1,2000-02-08
63,2,92110
63,3,32.7539193
63,4,-117.2180373
64,1,2000-02-09
64,2,43604
64,3,41.66104
64,4,-83.531252
65,1,2000-02-10
65,2,74354
65,3,36.8713337
65,4,-94.8680991
66,1,2000-02-11
66,2,90007
66,3,34.018269
66,4,-118.2822523
67,1,2000-02-12
67,2,61602
67,3,40.6678538
67,4,-89.6239771
68,1,2000-02-14
68,2,64124
68,3,39.1023961
68,4,-94.5484488
69,1,2000-02-15
69,2,77087
69,3,29.6683153
69,4,-95.3122362
70,1,2000-02-17
70,2,61603
70,3,40.7004723
70,4,-89.5784693
71,1,2000-02-18
71,2,66440
71,3,39.2235536
71,4,-95.6544751
72,1,2000-02-18
72,2,90640
72,3,33.9934303
72,4,-118.116267
73,1,2000-02-18
73,2,93711
73,3,36.8299658
73,4,-119.8511558
74,1,2000-02-19
74,2,95448
74,3,38.6104658
74,4,-122.8691609
75,1,2000-02-19
75,2,92630
75,3,33.639381
75,4,-117.6796065
76,1,2000-02-20
76,2,84041
76,3,41.0616031
76,4,-111.9453025
77,1,2000-02-21
77,2,33161
77,3,25.8859021
77,4,-80.1820571
78,1,2000-02-21
78,2,92101
78,3,32.7186511
78,4,-117.1578753
79,1,2000-02-23
79,2,63113
79,3,38.6560148
79,4,-90.2396068
80,1,2000-02-24
80,2,33756
80,3,27.9655835
80,4,-82.7876565
81,1,2000-02-26
81,2,90021
81,3,34.0370853
81,4,-118.248733
82,1,2000-02-27
82,2,63133
82,3,38.6731874
82,4,-90.3122513
83,1,2000-02-28
83,2,73129
83,3,35.4314766
83,4,-97.4769314
84,1,2000-02-28
84,2,94015
84,3,37.6706214
84,4,-122.485172
85,1,2000-02-29
85,2,60653
85,3,41.8126818
85,4,-87.622927
86,1,2000-02-29
86,2,92129
86,3,32.955881
86,4,-117.1298553
87,1,2000-03-01
87,2,66434
87,3,39.8525033
87,4,-95.5358156
88,1,2000-03-01
88,2,68128
88,3,41.1762668
88,4,-96.0235745
89,1,2000-03-01
89,2,68128
89,3,41.1762668
89,4,-96.0235745
90,1,2000-03-01
90,2,10472
90,3,40.825276
90,4,-73.877713
91,1,2000-03-01
91,2,10031
91,3,40.8284707
91,4,-73.9476522
92,1,2000-03-02
92,2,29349
92,3,35.047741
92,4,-82.106044
93,1,2000-03-04
93,2,95111
93,3,37.2818031
93,4,-121.8279775
94,1,2000-03-05
94,2,68883
94,3,40.8878066
94,4,-98.6078656
95,1,2000-03-05
95,2,77055
95,3,29.7992955
95,4,-95.5172061
96,1,2000-03-06
96,2,95409
96,3,38.4518593
96,4,-122.6191245
97,1,2000-03-07
97,2,29323
97,3,35.156905
97,4,-81.853404
98,1,2000-03-09
98,2,31554
98,3,31.5174219
98,4,-82.6348602
99,1,2000-03-09
99,2,35127
99,3,33.50379
99,4,-86.973961
100,1,2000-03-12
100,2,63385
100,3,38.8144747
100,4,-90.8737874
101,1,2000-03-12
101,2,63301
101,3,38.7695936
101,4,-90.4899216
102,1,2000-03-13
102,2,43215
102,3,39.9622212
102,4,-83.0006428
103,1,2000-03-13
103,2,87301
103,3,35.5293676
103,4,-108.7090367
104,1,2000-03-13
104,2,87301
104,3,35.5293676
104,4,-108.7090367
105,1,2000-03-13
105,2,87301
105,3,35.5293676
105,4,-108.7090367
106,1,2021-01-06
106,2,38127
106,3,35.2173267
106,4,-89.9960211
107,1,2000-03-14
